presentation_order,filename,rating,rt_seconds
364,18_1_0_20170109214044181_proc.png,4,1.029
365,25_1_0_20170103163718321_proc.png,4,3.093
366,21_1_0_20170116214444473_proc.png,4,1.717
367,25_1_0_20170117143909681_proc.png,3,0.701
368,25_1_0_20170103180907920_proc.png,2,1.053
369,25_1_0_20170117142737553_proc.png,1,1.357
370,23_1_0_20170112234124928_proc.png,4,1.475
371,22_1_0_20170112233750014_proc.png,3,1.117
372,19_1_0_20170103175624137_proc.png,3,0.732
373,18_1_0_20170117150406531_proc.png,4,0.979
374,21_1_0_20170117142341545_proc.png,3,1.035
375,18_1_0_20170109214512153_proc.png,3,1.156
376,25_1_0_20170117145650515_proc.png,4,1.012
377,22_1_0_20170103183738666_proc.png,4,2.972
378,18_1_0_20170109212830216_proc.png,3,4.685
379,19_1_0_20170112231655238_proc.png,3,1.789
380,18_1_0_20170109214700491_proc.png,4,0.74
381,20_1_0_20170109214618635_proc.png,4,2.006
382,24_1_0_20170105000615467_proc.png,3,0.78
383,24_1_0_20170104022800709_proc.png,4,0.853
384,25_1_0_20170116223848612_proc.png,4,0.645
385,23_1_0_20170116221815459_proc.png,3,0.803
386,18_1_0_20170109214601671_proc.png,4,1.221
387,18_1_0_20170109212417557_proc.png,3,0.779
388,18_1_0_20170109214608184_proc.png,3,0.661
389,18_1_0_20170117140440920_proc.png,3,0.605
390,20_1_0_20170117133854316_proc.png,3,0.645
391,23_1_0_20170103180518664_proc.png,3,0.602
392,25_1_0_20170117203811656_proc.png,3,0.741
393,23_1_0_20170117144945297_proc.png,3,0.764
394,18_1_0_20170105002457379_proc.png,4,0.7
395,23_1_0_20170117145123986_proc.png,4,1.628
396,24_1_0_20170116220317125_proc.png,1,1.501
397,20_1_0_20170109213016635_proc.png,3,4.924
398,18_1_0_20170109212921724_proc.png,2,0.939
399,23_1_0_20170116221812669_proc.png,4,1.156
400,25_1_0_20170119172027811_proc.png,3,1.092
